Class                   , AUC  , AP   , F1   , Precision, Recall, Specificity, Threshold, Pos_Samples, Neg_Samples
Architectural_Distortion, 0.664, 0.058, 0.128, 0.090    , 0.225 , 0.927      , 0.080    , 111        , 3503
Asymmetry               , 0.700, 0.086, 0.146, 0.098    , 0.287 , 0.919      , 0.041    , 108        , 3506
Focal_Asymmetry         , 0.637, 0.122, 0.196, 0.123    , 0.491 , 0.704      , 0.135    , 281        , 3333
Global_Asymmetry        , 0.854, 0.081, 0.188, 0.136    , 0.308 , 0.971      , 0.039    , 52         , 3562
Mass                    , 0.666, 0.383, 0.491, 0.337    , 0.904 , 0.338      , 0.212    , 980        , 2634
Nipple_Retraction       , 0.790, 0.108, 0.177, 0.163    , 0.194 , 0.990      , 0.080    , 36         , 3578
No_Finding              , 0.762, 0.785, 0.715, 0.618    , 0.847 , 0.459      , 0.285    , 1836       , 1778
Skin_Retraction         , 0.960, 0.142, 0.333, 0.286    , 0.400 , 0.997      , 0.074    , 10         , 3604
Skin_Thickening         , 0.767, 0.062, 0.160, 0.104    , 0.346 , 0.956      , 0.045    , 52         , 3562
Suspicious_Calcification, 0.766, 0.462, 0.424, 0.440    , 0.408 , 0.915      , 0.220    , 507        , 3107
Suspicious_Lymph_Node   , 0.815, 0.038, 0.089, 0.074    , 0.111 , 0.993      , 0.087    , 18         , 3596
OVERALL                 , 0.762, 0.212, 0.277, -        , -     , -          , -        , -          , -
